"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
917.78418,2.03947,917.78418,0.00501,685.9730005145594,,
919.34582,2.03918,919.34582,0.005,683.4408957425386,,
920,2.03906,920,0.005,682.9549246934333,,
920.90723,2.0389,920.90723,0.00499,680.917548726947,,
922.46844,2.03861,922.46844,0.00498,678.4028910464262,,
924.02948,2.03833,924.02948,0.00497,675.8968550804796,,
925,2.03816,925,0.00496,673.8291702402324,,
925.59045,2.03805,925.59045,0.00496,673.3993230723318,,
927.15118,2.03777,927.15118,0.00495,670.9103745203444,,
928.71173,2.0375,928.71173,0.00494,668.4299210362543,,
930,2.03727,930,0.00493,666.1527648257068,,
930.27216,2.03722,930.27216,0.00493,665.9578754758255,,
931.83234,2.03695,931.83234,0.00492,663.4942872088677,,
933.39239,2.03668,933.39239,0.00491,661.0390268609705,,
934.95233,2.03641,934.95233,0.00491,659.9361030150441,,
935,2.0364,935,0.00491,659.9024568610005,,
936.51202,2.03614,936.51202,0.0049,657.4952023612035,,
938.07159,2.03587,938.07159,0.00489,655.0625022575981,,
939.63098,2.03561,939.63098,0.00488,652.6380026132467,,
940,2.03555,940,0.00488,652.3817935965187,,
941.19012,2.03535,941.19012,0.00488,651.5568671510573,,
942.74915,2.03509,942.74915,0.00487,649.1464340427057,,
944.30798,2.03483,944.30798,0.00487,648.0748462162649,,
945,2.03471,945,0.00487,647.600263406658,,
945.8667,2.03457,945.8667,0.00486,645.6783094889119,,
947.42517,2.03431,947.42517,0.00486,644.6161989319492,,
948.98352,2.03406,948.98352,0.00485,642.2334655468198,,
950,2.03389,950,0.00485,641.5462892593894,,
950.54163,2.0338,950.54163,0.00485,641.1807285036215,,
952.09949,2.03355,952.09949,0.00484,638.8117461705435,,
953.65735,2.0333,953.65735,0.00484,637.7682065104243,,
955,2.03309,955,0.00484,636.8715578376796,,
955.21497,2.03305,955.21497,0.00484,636.7282306463267,,
956.77234,2.03281,956.77234,0.00483,634.378394209795,,
958.32959,2.03256,958.32959,0.00483,633.3475528743176,,
959.8866,2.03232,959.8866,0.00483,632.3202143602672,,
960,2.0323,960,0.00483,632.2455215349459,,
961.44354,2.03207,961.44354,0.00483,631.2962492561427,,
963.00018,2.03183,963.00018,0.00482,628.9708726867653,,
964.55676,2.03159,964.55676,0.00482,627.9558536421558,,
965,2.03153,965,0.00482,627.6674234322405,,
966.11298,2.03136,966.11298,0.00482,626.9443389655236,,
967.66913,2.03112,967.66913,0.00482,625.936123034236,,
969.2251,2.03089,969.2251,0.00482,624.9312606659815,,
970,2.03077,970,0.00481,623.136522217192,,
970.78088,2.03065,970.78088,0.00481,622.6352815587759,,
972.33643,2.03042,972.33643,0.00481,621.6391856784346,,
973.89179,2.03019,973.89179,0.00481,620.6463929125804,,
975,2.03003,975,0.00481,619.9409503083858,,
975.44708,2.02997,975.44708,0.00481,619.6568106500213,,
977.00207,2.02974,977.00207,0.00481,618.6705689893535,,
978.55682,2.02951,978.55682,0.00481,617.6876132248265,,
980,2.02931,980,0.00481,616.7779862762002,,
980.11151,2.02929,980.11151,0.00481,616.7078137371086,,
981.66589,2.02907,981.66589,0.00481,615.7313121582296,,
983.22022,2.02885,983.22022,0.00481,614.7579293585685,,
984.77423,2.02863,984.77423,0.00481,613.7878187071125,,
985,2.0286,985,0.00481,613.647133553986,,
986.32813,2.02841,986.32813,0.00481,612.8208333170791,,
987.88171,2.02819,987.88171,0.00481,611.8570881838436,,
989.43524,2.02798,989.43524,0.00481,610.8964004058276,,
990,2.0279,990,0.00481,610.5479056067437,,
990.98859,2.02776,990.98859,0.00481,609.9388354720372,,
992.54163,2.02755,992.54163,0.00481,608.9844579624094,,
994.09454,2.02734,994.09454,0.00481,608.0331419491312,,
995,2.02722,995,0.00481,607.4798256790716,,
995.64728,2.02713,995.64728,0.00482,608.3470278873378,,
997.19971,2.02692,997.19971,0.00482,607.3999596451067,,
998.75207,2.02672,998.75207,0.00482,606.4558780960645,,
1000,2.02655,1000,0.00482,605.6990636121121,,
1005,2.0259,1005,0.00482,602.6856354349375,,
1010,2.02525,1010,0.00483,600.9462382906416,,
1013.13947,2.02486,1013.13947,0.00483,599.084053722187,,
1015,2.02463,1015,0.00483,597.9859119936434,,
1016.52118,2.02444,1016.52118,0.00483,597.0910519282521,,
1019.90344,2.02402,1019.90344,0.00484,596.3430594321595,,
1020,2.02401,1020,0.00484,596.2866056225332,,
1023.28613,2.02361,1023.28613,0.00484,594.3717205812063,,
1025,2.0234,1025,0.00484,593.377890473155,,
1026.66931,2.02321,1026.66931,0.00485,593.6370833919443,,
1030,2.02281,1030,0.00485,591.71745125866,,
1030.0531,2.02281,1030.0531,0.00485,591.686947785915,,
1033.43726,2.02241,1033.43726,0.00485,589.7493717194017,,
1035,2.02223,1035,0.00486,590.0730549351264,,
1036.82202,2.02202,1036.82202,0.00486,589.0361123482463,,
1040,2.02166,1040,0.00486,587.2361652479382,,
1040.20728,2.02164,1040.20728,0.00486,587.1191478854635,,
1043.59314,2.02126,1043.59314,0.00487,586.4184282768396,,
1045,2.0211,1045,0.00487,585.6289463342505,,
1046.97937,2.02088,1046.97937,0.00487,584.5217837666579,,
1050,2.02055,1050,0.00487,582.8402370659921,,
1050.36621,2.02051,1050.36621,0.00487,582.6370299167295,,
1053.75342,2.02014,1053.75342,0.00488,581.9567218872966,,
1055,2.02001,1055,0.00488,581.2690862376566,,
1057.14124,2.01978,1057.14124,0.00488,580.0917254734359,,
1060,2.01948,1060,0.00488,578.5272509252147,,
1060.52954,2.01942,1060.52954,0.00488,578.2383826675187,,
1063.91834,2.01907,1063.91834,0.00489,577.5777143217248,,
1065,2.01896,1065,0.00489,576.9911014480409,,
1067.30774,2.01872,1067.30774,0.00489,575.7435273936678,,
1070,2.01845,1070,0.00489,574.2948813478164,,
1070.69751,2.01838,1070.69751,0.00489,573.9207547444129,,
1074.08777,2.01804,1074.08777,0.0049,573.2791837892349,,
1075,2.01795,1075,0.0049,572.7927070731158,,
1077.47864,2.0177,1077.47864,0.0049,571.4750504043398,,
1080,2.01745,1080,0.0049,570.1408889848143,,
1080.87,2.01737,1080.87,0.0049,569.6819785021321,,
1084.26184,2.01704,1084.26184,0.0049,567.8998719567587,,
1085,2.01697,1085,0.0049,567.5135116162207,,
1087.65417,2.01671,1087.65417,0.00491,567.2839898779916,,
1090,2.01649,1090,0.00491,566.0631166651701,,
1091.04712,2.01639,1091.04712,0.00491,565.5198440604796,,
1094.44043,2.01607,1094.44043,0.00491,563.7664511032687,,
1095,2.01602,1095,0.00491,563.4783535753749,,
1097.83423,2.01576,1097.83423,0.00491,562.0236464707749,,
1100,2.01556,1100,0.00491,560.9170883318504,,
1101.22876,2.01545,1101.22876,0.00491,560.2912124861645,,
1104.62353,2.01514,1104.62353,0.00491,558.569304752213,,
1105,2.0151,1105,0.00491,558.3790019593081,,
1108.01892,2.01483,1108.01892,0.00491,556.857636659341,,
1110,2.01466,1110,0.00491,555.8637812297616,,
1111.41479,2.01453,1111.41479,0.00491,555.1561871558641,,
1114.81128,2.01423,1114.81128,0.00491,553.4647955526925,,
1115,2.01422,1115,0.00491,553.371118533664,,
1118.20813,2.01394,1118.20813,0.00491,551.7835013102931,,
1120,2.01378,1120,0.00491,550.9007117544959,,
1121.60559,2.01364,1121.60559,0.00491,550.112091689054,,
1125,2.01335,1125,0.00491,548.4522641466981,,
1125.00354,2.01335,1125.00354,0.00491,548.4505383556708,,
1128.40198,2.01307,1128.40198,0.00491,546.798754434156,,
1130,2.01293,1130,0.00491,546.0254842168455,,
1131.8009,2.01278,1131.8009,0.00491,545.1566588832324,,
1135,2.01252,1135,0.00491,543.6200856079607,,
1135.20032,2.0125,1135.20032,0.00491,543.5241571857867,,
1138.60022,2.01222,1138.60022,0.00491,541.901175080605,,
1140,2.01211,1140,0.00491,541.2357869868732,,
1142.00073,2.01194,1142.00073,0.00491,540.287568086787,,
1145,2.0117,1145,0.00491,538.8723119345287,,
1145.40161,2.01167,1145.40161,0.00491,538.6833681550661,,
1148.8031,2.0114,1148.8031,0.0049,535.9945147289378,,
1150,2.0113,1150,0.0049,535.4366609596517,,
1152.20508,2.01113,1152.20508,0.0049,534.4119469631217,,
1155,2.01091,1155,0.0049,533.1187533364498,,
1155.60754,2.01086,1155.60754,0.0049,532.8384756849193,,
1159.0105,2.0106,1159.0105,0.0049,531.2740135689879,,
1160,2.01052,1160,0.0049,530.8208276755167,,
1162.41406,2.01034,1162.41406,0.0049,529.7184379407794,,
1165,2.01014,1165,0.0049,528.5426266983686,,
1165.81799,2.01008,1165.81799,0.0049,528.1717775719,,
1169.22253,2.00982,1169.22253,0.0049,526.6338479669901,,
1170,2.00976,1170,0.0049,526.283897524444,,
1172.62756,2.00956,1172.62756,0.0049,525.1046292171399,,
1175,2.00939,1175,0.0049,524.0443915775314,,
1176.03296,2.00931,1176.03296,0.0049,523.5841009962846,,
1179.43909,2.00906,1179.43909,0.0049,522.0720301067853,,
1180,2.00902,1180,0.0049,521.8238644945758,,
1182.84558,2.00881,1182.84558,0.0049,520.5685091232276,,
1185,2.00866,1185,0.0049,519.6220760367928,,
1186.25269,2.00856,1186.25269,0.0049,519.0733519884363,,
1189.66016,2.00832,1189.66016,0.0049,517.5866022979196,,
1190,2.0083,1190,0.0049,517.4387900030248,,
1193.06812,2.00808,1193.06812,0.0049,516.1081331245357,,
1195,2.00794,1195,0.0049,515.2737741452715,,
1196.47681,2.00784,1196.47681,0.0049,514.6377722971492,,
1199.88574,2.0076,1199.88574,0.0049,513.1756629623746,,
1200,2.00759,1200,0.0049,513.1268000863329,,
1203.29529,2.00737,1203.29529,0.0049,511.7215742642851,,
1205,2.00725,1205,0.0049,510.99764323950166,,
1206.70532,2.00713,1206.70532,0.0049,510.2754996585243,,
1210,2.00691,1210,0.0049,508.8860827302475,,
1210.11597,2.0069,1210.11597,0.0049,508.8373142481538,,
1213.5271,2.00667,1213.5271,0.0049,507.407012256751,,
1215,2.00657,1215,0.0049,506.79190131983495,,
1216.9386,2.00644,1216.9386,0.0049,505.9845748204548,,
1220,2.00624,1220,0.0049,504.71488533081924,,
1220.35071,2.00621,1220.35071,0.0049,504.5698380456545,,
1223.76331,2.00599,1223.76331,0.00491,504.18965180859635,,
1225,2.00591,1225,0.00491,503.6806507469677,,
1227.17639,2.00577,1227.17639,0.00491,502.78737612042505,,
1230,2.00559,1230,0.00491,501.6331684268581,,
1230.58997,2.00555,1230.58997,0.00491,501.39267522636754,,
1234.00415,2.00533,1234.00415,0.00491,500.0054474411901,,
1235,2.00527,1235,0.00491,499.60226491095983,,
1237.4187,2.00511,1237.4187,0.00492,499.64125661465386,,
1240,2.00495,1240,0.00492,498.601156634251,,
1240.83374,2.0049,1240.83374,0.00492,498.2661369495572,,
1244.24939,2.00468,1244.24939,0.00492,496.8983221494457,,
1245,2.00464,1245,0.00492,496.5987423505794,,
1247.66553,2.00447,1247.66553,0.00492,495.5378018870741,,
1250,2.00433,1250,0.00493,495.6176570303258,,
1251.08228,2.00427,1251.08228,0.00493,495.1889105870057,,
1254.49927,2.00406,1254.49927,0.00493,493.8401209973659,,
1255,2.00403,1255,0.00493,493.6430846915596,,
1257.91699,2.00385,1257.91699,0.00494,493.49735577491737,,
1260,2.00373,1260,0.00494,492.68151456297073,,
1261.33521,2.00365,1261.33521,0.00494,492.15997732224025,,
1264.75378,2.00345,1264.75378,0.00495,491.8232744169217,,
1265,2.00343,1265,0.00495,491.7275457792721,,
1268.17297,2.00325,1268.17297,0.00495,490.4972429831706,,
1270,2.00314,1270,0.00495,489.7916105596686,,
1271.59253,2.00305,1271.59253,0.00496,490.166439144004,,
1275,2.00285,1275,0.00496,488.856456840953,,
1275.01282,2.00285,1275.01282,0.00496,488.85154148662997,,
1278.43335,2.00265,1278.43335,0.00497,488.52653877783365,,
1280,2.00257,1280,0.00497,487.92860901066473,,
1281.85461,2.00246,1281.85461,0.00497,487.2226652394305,,
1285,2.00228,1285,0.00498,487.00798178605976,,
1285.27625,2.00227,1285.27625,0.00498,486.9033070478715,,
1288.69849,2.00208,1288.69849,0.00498,485.6102970952398,,
1290,2.00201,1290,0.00499,486.09449120660673,,
1292.12122,2.00189,1292.12122,0.00499,485.296490724394,,
1295,2.00173,1295,0.005,485.18805460846227,,
1295.54443,2.0017,1295.54443,0.005,484.9841627723711,,
1298.96802,2.00152,1298.96802,0.005,483.7059273545154,,
1300,2.00146,1300,0.005,483.3219467061221,,
1302.39233,2.00133,1302.39233,0.00501,483.39901370533613,,
1305,2.00119,1305,0.00502,483.3960190351192,,
1305.81702,2.00115,1305.81702,0.00502,483.0935691440372,,
1309.24219,2.00097,1309.24219,0.00502,481.8297253626012,,
1310,2.00093,1310,0.00503,482.51026099409654,,
1312.66797,2.00079,1312.66797,0.00503,481.52956905184976,,
1315,2.00067,1315,0.00504,481.63123875566714,,
1316.09412,2.00061,1316.09412,0.00504,481.23084005853804,,
1319.52087,2.00044,1319.52087,0.00505,480.9334436863724,,
1320,2.00041,1320,0.00505,480.75887577661985,,
1322.94812,2.00026,1322.94812,0.00505,479.6875300182884,,
1325,2.00016,1325,0.00506,479.89309666911254,,
1326.37585,2.00009,1326.37585,0.00506,479.39530344025354,,
1329.80408,1.99992,1329.80408,0.00507,479.1044032200668,,
1330,1.99991,1330,0.00507,479.0338271789548,,
1333.23291,1.99975,1333.23291,0.00508,478.8147835395437,,
1335,1.99966,1335,0.00508,478.18099416437906,,
1336.66211,1.99958,1336.66211,0.00509,478.5265172743483,,
1340,1.99942,1340,0.0051,478.27231442710286,,
1340.09192,1.99941,1340.09192,0.0051,478.2395086243919,,
1343.52222,1.99925,1343.52222,0.00511,477.9537910387174,,
1345,1.99918,1345,0.00511,477.4286530808578,,
1346.95288,1.99908,1346.95288,0.00511,476.73645301812905,,
1350,1.99894,1350,0.00512,476.5912410779183,,
1350.38428,1.99892,1350.38428,0.00512,476.4556171041844,,
1353.81604,1.99876,1353.81604,0.00513,476.17607818904673,,
1355,1.99871,1355,0.00514,476.687416662776,,
1357.24829,1.9986,1357.24829,0.00514,475.8977810744278,,
1360,1.99848,1360,0.00515,475.85888723492457,,
1360.68103,1.99844,1360.68103,0.00515,475.62071666384406,,
1364.11438,1.99829,1364.11438,0.00516,475.34483413402126,,
1365,1.99825,1365,0.00516,475.0364276197314,,
1367.5481,1.99813,1367.5481,0.00517,475.07020832566644,,
1370,1.99802,1370,0.00518,475.1372246889089,,
1370.98254,1.99798,1370.98254,0.00518,474.79670880695915,,
1374.41724,1.99783,1374.41724,0.00519,474.5244863817636,,
1375,1.9978,1375,0.00519,474.32337082562987,,
1377.85266,1.99768,1377.85266,0.0052,474.25337332271573,,
1380,1.99759,1380,0.00521,474.42602102037165,,
1381.28833,1.99753,1381.28833,0.00521,473.9835230549677,,
1384.72473,1.99738,1384.72473,0.00522,473.71476211705186,,
1385,1.99737,1385,0.00522,473.6206108805406,,
1388.1615,1.99724,1388.1615,0.00523,473.4472056248389,,
1390,1.99716,1390,0.00523,472.82099505826244,,
1391.59888,1.99709,1391.59888,0.00524,473.1807632616236,,
1395,1.99695,1395,0.00525,472.9279263468506,,
1395.03674,1.99695,1395.03674,0.00525,472.91547121107124,,
1398.4751,1.99681,1398.4751,0.00526,472.65131450341335,,
1400,1.99675,1400,0.00526,472.13649593949464,,
1401.91382,1.99667,1401.91382,0.00526,471.49195969499215,,
1405,1.99654,1405,0.00527,471.3506984887747,,
1405.35327,1.99653,1405.35327,0.00527,471.23221293442356,,
1408.79309,1.99639,1408.79309,0.00528,470.9736107792553,,
1410,1.99635,1410,0.00528,470.57047406962016,,
1412.23352,1.99626,1412.23352,0.00529,470.7160650737141,,
1415,1.99615,1415,0.0053,470.68384633288775,,
1415.67432,1.99612,1415.67432,0.0053,470.45964820569475,,
1419.11572,1.99599,1419.11572,0.0053,469.3187688464449,,
1420,1.99595,1420,0.00531,469.9114645228677,,
1422.5575,1.99586,1422.5575,0.00531,469.0666490616177,,
1425,1.99576,1425,0.00532,469.14450293607587,,
1425.99988,1.99573,1425.99988,0.00532,468.8155490475273,,
1429.44275,1.9956,1429.44275,0.00533,468.56549781048875,,
1430,1.99557,1430,0.00533,468.3829047170237,,
1432.88611,1.99547,1432.88611,0.00533,467.4394908785486,,
1435,1.99539,1435,0.00534,467.626613802634,,
1436.33008,1.99534,1436.33008,0.00534,467.19357907395477,,
1439.77441,1.99521,1439.77441,0.00534,466.07592560752613,,
1440,1.9952,1440,0.00534,466.0029102824859,,
1443.21936,1.99509,1443.21936,0.00535,465.8341250828396,,
1445,1.99502,1445,0.00535,465.26008849011464,,
1446.66479,1.99496,1446.66479,0.00536,465.5933216772709,,
1450,1.99484,1450,0.00536,464.5223896066563,,
1450.1106,1.99484,1450.1106,0.00536,464.4869604633272,,
1453.55701,1.99472,1453.55701,0.00536,463.38565346649295,,
1455,1.99466,1455,0.00537,463.78976081861686,,
1457.00391,1.99459,1457.00391,0.00537,463.1518813090128,,
1460,1.99449,1460,0.00537,462.2014397199229,,
1460.45142,1.99447,1460.45142,0.00537,462.0585750062727,,
1463.89917,1.99436,1463.89917,0.00537,460.97034264394557,,
1465,1.99432,1465,0.00537,460.6239604034727,,
1467.34766,1.99424,1467.34766,0.00538,460.74339264119834,,
1470,1.99415,1470,0.00538,459.9120673826691,,
1470.79663,1.99412,1470.79663,0.00538,459.6629644524842,,
1474.24597,1.994,1474.24597,0.00538,458.58747645246984,,
1475,1.99398,1475,0.00538,458.3530434254397,,
1477.69604,1.99389,1477.69604,0.00538,457.51678339242454,,
1480,1.99381,1480,0.00538,456.80455341386727,,
1481.14636,1.99377,1481.14636,0.00538,456.45100127209815,,
1484.59741,1.99366,1484.59741,0.00538,455.38994915296496,,
1485,1.99364,1485,0.00538,455.26649094446026,,
1488.04871,1.99354,1488.04871,0.00538,454.33374224189447,,
1490,1.99348,1490,0.00538,453.73875104196213,,
1491.50073,1.99343,1491.50073,0.00538,453.28220459705943,,
1494.95313,1.99332,1494.95313,0.00538,452.2354082448882,,
1495,1.99331,1495,0.00538,452.22123013546724,,
1498.40601,1.99321,1498.40601,0.00538,451.19329109773366,,
1500,1.99315,1500,0.00538,450.7138260350157,,
1501.85962,1.99309,1501.85962,0.00538,450.1557469482558,,
1505,1.99299,1505,0.00537,448.38146311700166,,
1505.31348,1.99298,1505.31348,0.00537,448.28808813370057,,
1508.76794,1.99287,1508.76794,0.00537,447.2616922063492,,
1510,1.99283,1510,0.00537,446.89675628548844,,
1512.2229,1.99276,1512.2229,0.00537,446.23983804972636,,
1515,1.99268,1515,0.00536,444.5923860921793,,
1515.67847,1.99265,1515.67847,0.00536,444.3933711941238,,
1519.1344,1.99255,1519.1344,0.00536,443.38240575004534,,
1520,1.99252,1520,0.00536,443.12991113792873,,
1522.59082,1.99244,1522.59082,0.00535,441.5505591109604,,
1525,1.99236,1525,0.00535,440.85300188079714,,
1526.04785,1.99233,1526.04785,0.00535,440.550293274366,,
1529.50525,1.99222,1529.50525,0.00534,438.7328456746257,,
1530,1.99221,1530,0.00534,438.5909743835162,,
1532.96326,1.99211,1532.96326,0.00534,437.7431660082837,,
1535,1.99205,1535,0.00533,436.3436832217224,,
1536.42175,1.99201,1536.42175,0.00533,435.9399063085015,,
1539.88074,1.9919,1539.88074,0.00532,434.1446056945345,,
1540,1.99189,1540,0.00532,434.1109848596805,,
1543.34021,1.99179,1543.34021,0.00531,432.3572179995699,,
1545,1.99174,1545,0.00531,431.89273761972305,,
1546.80029,1.99168,1546.80029,0.00531,431.3900662783507,,
1550,1.99159,1550,0.0053,429.6888016522814,,
1550.26074,1.99158,1550.26074,0.0053,429.6165318364679,,
1553.7218,1.99147,1553.7218,0.00529,427.8507294546555,,
1555,1.99143,1555,0.00529,427.4990389064954,,
1557.18335,1.99136,1557.18335,0.00528,426.0926424869392,,
1560,1.99128,1560,0.00527,424.5177765235439,,
1560.64526,1.99126,1560.64526,0.00527,424.3422565975874,,
1564.10779,1.99115,1564.10779,0.00526,422.59945161151103,,
1565,1.99112,1565,0.00526,422.3585267190368,,
1567.5708,1.99105,1567.5708,0.00525,420.8642169488336,,
1570,1.99097,1570,0.00525,420.21303009799783,,
1571.03442,1.99094,1571.03442,0.00524,419.13646945585106,,
1574.49829,1.99083,1574.49829,0.00524,418.2143762076875,,
1575,1.99082,1575,0.00523,417.2832908768158,,
1577.96289,1.99073,1577.96289,0.00523,416.4997715066574,,
1580,1.99066,1580,0.00522,415.1674342212334,,
1581.42798,1.99062,1581.42798,0.00522,414.79255101427304,,
1584.89343,1.99052,1584.89343,0.00521,413.09270176488326,,
1585,1.99051,1585,0.00521,413.06492681899863,,
1588.3595,1.99041,1588.3595,0.0052,411.4001093245433,,
1590,1.99036,1590,0.00519,410.1853049592711,,
1591.82605,1.9903,1591.82605,0.00519,409.7147643018162,,
1595,1.99021,1595,0.00518,408.111597381696,,
1595.29309,1.9902,1595.29309,0.00518,408.036618414617,,
1598.76062,1.99009,1598.76062,0.00517,406.3656263702376,,
1600,1.99005,1600,0.00516,405.26545231308336,,
1602.22876,1.98999,1602.22876,0.00516,404.7017129444945,,
1605,1.9899,1605,0.00515,403.21999167569936,,
1605.69727,1.98988,1605.69727,0.00515,403.04489440870606,,
1609.16626,1.98978,1609.16626,0.00514,401.3950985885458,,
1610,1.98975,1610,0.00514,401.18723576277114,,
1612.63586,1.98967,1612.63586,0.00513,399.7522494114856,,
1615,1.9896,1615,0.00512,398.38896313014845,,
1616.10584,1.98956,1616.10584,0.00512,398.11636065567944,,
1619.57642,1.98946,1619.57642,0.00511,396.48733487596326,,
1620,1.98944,1620,0.00511,396.38366567515664,,
1623.04761,1.98935,1623.04761,0.0051,394.86512742058005,,
1625,1.98929,1625,0.00509,393.6173933974658,,
1626.51904,1.98925,1626.51904,0.00509,393.2497859175887,,
1629.99109,1.98914,1629.99109,0.00508,391.64117590940083,,
1630,1.98914,1630,0.00508,391.6390350978196,,
1633.46362,1.98903,1633.46362,0.00507,390.0392897320909,,
1635,1.98899,1635,0.00507,389.67277684893577,,
1636.93677,1.98893,1636.93677,0.00506,388.4440527819374,,
1640,1.98884,1640,0.00505,386.9522658689867,,
1640.4104,1.98882,1640.4104,0.00505,386.8554576495846,,
1643.8844,1.98872,1643.8844,0.00504,385.2734894033317,,
1645,1.98868,1645,0.00504,385.0122060569619,,
1647.35901,1.98861,1647.35901,0.00503,383.6980512840771,,
1650,1.98853,1650,0.00503,383.08390418319175,,
1650.83423,1.98851,1650.83423,0.00502,382.1291038051898,,
1654.30981,1.9884,1654.30981,0.00502,381.32627941124923,,
1655,1.98838,1655,0.00501,380.40795636217194,,
1657.78577,1.98829,1657.78577,0.00501,379.76871268438657,,
1660,1.98822,1660,0.005,378.5051389867221,,
1661.26233,1.98819,1661.26233,0.005,378.2175273413674,,
1664.7395,1.98808,1664.7395,0.00499,376.672682817055,,
1665,1.98807,1665,0.00499,376.6137499438575,,
1668.21704,1.98797,1668.21704,0.00498,375.13419512552565,,
1670,1.98792,1670,0.00498,374.7336865838843,,
1671.69507,1.98787,1671.69507,0.00498,374.3537130818283,,
1675,1.98777,1675,0.00497,372.8648474827766,,
1675.17383,1.98776,1675.17383,0.00497,372.8261559181896,,
1678.65295,1.98765,1678.65295,0.00496,371.3048503993723,,
1680,1.98761,1680,0.00496,371.0071324239375,,
1682.13245,1.98755,1682.13245,0.00495,369.78975431499407,,
1685,1.98746,1685,0.00495,369.16044238028434,,
1685.61255,1.98744,1685.61255,0.00495,369.0262898260808,,
1689.09314,1.98733,1689.09314,0.00494,367.52189304927447,,
1690,1.98731,1690,0.00494,367.3246794966527,,
1695,1.98715,1695,0.00493,365.49974707251164,,
1700,1.987,1700,0.00492,363.68554954498313,,
1705,1.98685,1705,0.00491,361.8819924721615,,
1710,1.98669,1710,0.0049,360.08898251672485,,
1715,1.98654,1715,0.0049,359.03916041026207,,
1720,1.98638,1720,0.00489,357.2648389780021,,
1725,1.98623,1725,0.00489,356.22928872009487,,
1730,1.98607,1730,0.00488,354.4733444975304,,
1735,1.98592,1735,0.00488,353.4518074816874,,
1740,1.98576,1740,0.00488,352.43614136823425,,
1745,1.98561,1745,0.00487,350.7061598391357,,
1750,1.98545,1750,0.00487,349.7041422395953,,
1755,1.98529,1755,0.00487,348.7078341420466,,
1760,1.98513,1760,0.00487,347.7171868859612,,
1765,1.98498,1765,0.00487,346.732152362205,,
1770,1.98482,1770,0.00488,346.46264744673874,,
1775,1.98466,1775,0.00488,345.4866963271705,,
1780,1.9845,1780,0.00489,345.2222039562717,,
1785,1.98434,1785,0.00489,344.25519498160423,,
1790,1.98418,1790,0.0049,343.9956201696086,,
1795,1.98402,1795,0.00491,343.7374914568442,,
1800,1.98386,1800,0.00492,343.4807967924841,,
1805,1.98371,1805,0.00493,343.2255242592284,,
1810,1.98354,1810,0.00495,343.6659366910382,,
1815,1.98339,1815,0.00496,343.41156059075206,,
1820,1.98323,1820,0.00498,343.8490420852126,,
1825,1.98306,1825,0.005,344.2841264207993,,
1830,1.98291,1830,0.00502,344.71683324635546,,
1835,1.98275,1835,0.00504,345.147181996568,,
1840,1.98258,1840,0.00506,345.57519189487726,,
1845,1.98242,1845,0.00509,346.68198605467853,,
1850,1.98226,1850,0.00511,347.1035342668939,,
1855,1.98211,1855,0.00514,348.200242360141,,
1860,1.98195,1860,0.00517,349.2910541733168,,
1865,1.98179,1865,0.0052,350.3760171295855,,
1870,1.98163,1870,0.00524,352.12717657348696,,
1875,1.98147,1875,0.00527,353.1987900675885,,
1880,1.98131,1880,0.00531,354.93312745876176,,
1885,1.98115,1885,0.00535,356.6582641210693,,
1890,1.98099,1890,0.00539,358.374273076169,,
1895,1.98084,1895,0.00543,360.0812265750412,,
1900,1.98068,1900,0.00548,362.4405840352014,,
1905,1.98052,1905,0.00552,364.1279044160768,,
1910,1.98037,1910,0.00557,366.46431582188796,,
1915,1.98021,1915,0.00562,368.78852664594547,,
1920,1.98006,1920,0.00567,371.10063220529423,,
1925,1.9799,1925,0.00573,374.0535253001458,,
1930,1.97975,1930,0.00578,376.3400111450571,,
1935,1.9796,1935,0.00584,379.264105363605,,
1940,1.97945,1940,0.0059,382.17312693154184,,
1945,1.97929,1945,0.00596,385.067192090389,,
1950,1.97914,1950,0.00603,388.5908451517221,,
1955,1.97899,1955,0.00609,391.4536933066361,,
1960,1.97885,1960,0.00616,394.9430764512883,,
1965,1.9787,1965,0.00623,398.41470192090406,,
1970,1.97855,1970,0.0063,401.86870492620704,,
1975,1.97841,1975,0.00638,405.9414912385393,,
1980,1.97826,1980,0.00645,409.35904274048823,,
1985,1.97812,1985,0.00653,413.3924438879869,,
1990,1.97798,1990,0.00661,417.40557668801074,,
1995,1.97784,1995,0.00669,421.3985935341497,,
2000,1.9777,2000,0.00678,425.99996382677597,,
