"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
470,2.29066,470,0.33142,88611.62870235994,,
470.03937,2.29074,470.03937,0.33132,88577.47196685847,,
471.62213,2.2938,471.62213,0.32732,87214.40678561975,,
473.20499,2.2967,473.20499,0.32323,85836.54144643141,,
474.78778,2.29942,474.78778,0.31907,84449.34854733586,,
475,2.29977,475,0.3185,84260.82190891361,,
476.37067,2.30198,476.37067,0.31485,83055.52875308183,,
477.95352,2.30438,477.95352,0.31059,81660.43110455207,,
479.53644,2.30664,479.53644,0.30632,80271.91106875008,,
480,2.30728,480,0.30506,79864.52124200853,,
481.11932,2.30877,481.11932,0.30204,78889.92236605764,,
482.70224,2.31079,482.70224,0.29777,77519.59422930647,,
484.28516,2.31272,484.28516,0.29353,76166.00860602145,,
485,2.31356,485,0.29163,75561.45695392918,,
485.8681,2.31457,485.8681,0.28933,74831.58515351263,,
487.45102,2.31638,487.45102,0.28519,73521.29934016944,,
489.034,2.3182,489.034,0.2811,72232.3351688505,,
490,2.31933,490,0.27863,71456.48661793667,,
490.617,2.32007,490.617,0.27706,70964.49251482016,,
492.19995,2.32205,492.19995,0.27301,69702.25903977027,,
493.78296,2.32414,493.78296,0.26889,68430.29566056792,,
495,2.32582,495,0.26566,67442.06095779108,,
495.36591,2.32634,495.36591,0.26467,67141.10202905248,,
496.94891,2.32866,496.94891,0.26029,65819.65552981189,,
498.53192,2.33107,498.53192,0.25571,64456.1862718396,,
500,2.33336,500,0.25124,63143.49906303198,,
500.11493,2.33354,500.11493,0.25088,63038.53115783664,,
501.698,2.33605,501.698,0.24577,61559.68143965202,,
503.28101,2.33857,503.28101,0.24035,60012.73875128385,,
504.86408,2.34103,504.86408,0.23458,58388.372940225316,,
505,2.34124,505,0.23406,58243.261504889255,,
506.44708,2.3434,506.44708,0.22842,56677.40005000961,,
508.03012,2.34561,508.03012,0.22185,54875.669985779234,,
509.61313,2.34755,509.61313,0.21484,52976.638627598244,,
510,2.34796,510,0.21307,52500.32523140214,,
511.1962,2.34909,511.1962,0.20744,50993.491740405494,,
512.77918,2.35016,512.77918,0.19972,48944.17786423805,,
514.36224,2.35071,514.36224,0.19178,46853.72231876512,,
515,2.35078,515,0.18854,46005.11680837435,,
515.94531,2.35072,515.94531,0.1837,44741.995655659324,,
517.52832,2.35017,517.52832,0.17554,42623.76786732384,,
519.11139,2.34907,519.11139,0.16739,40520.875050296665,,
520,2.34821,520,0.16284,39352.07290081246,,
520.6944,2.34742,520.6944,0.15931,38447.66724154437,,
522.27747,2.34523,522.27747,0.15137,36420.707940848915,,
523.86047,2.34253,523.86047,0.14363,34453.97991836277,,
525,2.34028,525,0.13822,33084.26183460429,,
525.44348,2.33934,525.44348,0.13616,32563.67407682259,,
527.02649,2.33569,527.02649,0.129,30758.640030643117,,
528.6095,2.33164,528.6095,0.12222,29054.752449340733,,
530,2.32779,530,0.11662,27650.757378237104,,
530.1925,2.32724,530.1925,0.11588,27465.3267783294,,
531.77551,2.32257,531.77551,0.11002,25998.792140536825,,
533.35852,2.31775,533.35852,0.10465,24656.410940856207,,
534.94147,2.31284,534.94147,0.09974,23430.036281841898,,
535,2.31266,535,0.09956,23385.193614310265,,
536.52448,2.30789,536.52448,0.09524,22306.92506913324,,
538.10742,2.30295,538.10742,0.09114,21283.83618632679,,
539.69037,2.29804,539.69037,0.0874,20350.572341970674,,
540,2.29708,540,0.08671,20178.333258723775,,
541.27332,2.29318,541.27332,0.08399,19499.38097632499,,
542.85626,2.2884,542.85626,0.08089,18724.914749910287,,
544.43915,2.28372,544.43915,0.07808,18021.88945393005,,
545,2.28208,545,0.07714,17786.602370489298,,
546.0221,2.27914,546.0221,0.07551,17378.172881468738,,
547.60492,2.27468,547.60492,0.07317,16790.961955795807,,
549.18781,2.27034,549.18781,0.07104,16255.185424528554,,
550,2.26816,550,0.07002,15998.132189407806,,
550.77063,2.26612,550.77063,0.06909,15763.55924690602,,
552.35352,2.26203,552.35352,0.0673,15311.14968446969,,
553.93634,2.25807,553.93634,0.06565,14893.087368716046,,
555,2.25547,555,0.0646,14626.802552929776,,
555.51917,2.25422,555.51917,0.06411,14502.290174550892,,
557.10193,2.25047,557.10193,0.06267,14136.272089416194,,
558.68469,2.2468,558.68469,0.06134,13797.069926594759,,
560,2.24382,560,0.0603,13531.288357961752,,
560.26746,2.24322,560.26746,0.0601,13479.970332794024,,
561.85022,2.23971,561.85022,0.05896,13187.02360608877,,
563.43298,2.23629,563.43298,0.05792,12918.02595552151,,
565,2.23297,565,0.05698,12673.12916117143,,
565.01563,2.23294,565.01563,0.05697,12670.55451014766,,
566.59827,2.22966,566.59827,0.05611,12444.4265453139,,
568.18097,2.22646,568.18097,0.05534,12239.46218752516,,
569.76355,2.22334,569.76355,0.05467,12057.69448549343,,
570,2.22288,570,0.05457,12030.64639343123,,
571.34619,2.2203,571.34619,0.05407,11892.328521844183,,
572.92877,2.21734,572.92877,0.05357,11749.810954880497,,
574.51135,2.21446,574.51135,0.05315,11625.577077862607,,
575,2.21359,575,0.05303,11589.471890077686,,
576.09387,2.21166,576.09387,0.0528,11517.296103813156,,
577.67639,2.20896,577.67639,0.05254,11429.1863664089,,
579.25885,2.20635,579.25885,0.05236,11358.914332821092,,
580,2.20516,580,0.0523,11331.39970915491,,
580.84131,2.20383,580.84131,0.05226,11306.333020742108,,
582.42371,2.20143,582.42371,0.05222,11266.98419406442,,
584.0061,2.19914,584.0061,0.05226,11245.062822227548,,
585,2.19776,585,0.0523,11234.550138991193,,
585.5885,2.19697,585.5885,0.05234,11231.843486604657,,
587.17078,2.19493,587.17078,0.05246,11227.258318768556,,
588.75311,2.19302,588.75311,0.05262,11231.234459680045,,
590,2.1916,590,0.05275,11235.187286566887,,
590.33539,2.19123,590.33539,0.05279,11237.318920216196,,
591.9176,2.18957,591.9176,0.05297,11245.495174372336,,
593.49988,2.18803,593.49988,0.05315,11253.626507105446,,
595,2.18668,595,0.05331,11259.045671453574,,
595.08203,2.18661,595.08203,0.05332,11259.605354872354,,
596.66418,2.1853,596.66418,0.05346,11259.234181673877,,
598.24628,2.1841,598.24628,0.05358,11254.66484333784,,
599.82831,2.18301,599.82831,0.05365,11239.645949027808,,
600,2.1829,600,0.05366,11238.524119441887,,
601.4104,2.18202,601.4104,0.05368,11216.347016593001,,
602.99237,2.18113,602.99237,0.05364,11178.584560766929,,
604.57434,2.18031,604.57434,0.05355,11130.626986235202,,
605,2.18011,605,0.05351,11114.487464038997,,
